DATE,CCLACBW027SBOG
2018-12-12,806.5457
2018-12-19,804.5785
2018-12-26,806.3575
2019-01-02,806.356
2019-01-09,808.1717
2019-01-16,806.78
2019-01-23,808.8709
2019-01-30,811.8776
2019-02-06,811.6227
2019-02-13,811.3942
2019-02-20,812.675
2019-02-27,814.5779
2019-03-06,814.4746
2019-03-13,815.33
2019-03-20,816.7012
2019-03-27,816.208
2019-04-03,816.5638
2019-04-10,817.3147
2019-04-17,819.5683
2019-04-24,819.9012
2019-05-01,820.4215
2019-05-08,821.9574
2019-05-15,820.8102
2019-05-22,821.405
2019-05-29,824.2024
2019-06-05,824.5972
2019-06-12,825.761
2019-06-19,824.454
2019-06-26,822.9727
2019-07-03,822.1399
2019-07-10,824.3601
2019-07-17,823.7841
2019-07-24,825.3096
2019-07-31,828.5194
2019-08-07,828.9622
2019-08-14,829.5449
2019-08-21,830.525
2019-08-28,829.5988
2019-09-04,832.2542
2019-09-11,830.0121
2019-09-18,831.2
2019-09-25,830.4996
2019-10-02,830.3305
2019-10-09,830.8859
2019-10-16,838.9066
2019-10-23,838.6718
2019-10-30,841.3826
2019-11-06,840.1168
2019-11-13,840.9768
2019-11-20,838.7595
2019-11-27,834.3035
2019-12-04,838.3378
2019-12-11,841.225
2019-12-18,840.4178
2019-12-25,845.0288
2020-01-01,845.7288
2020-01-08,847.3054
2020-01-15,845.7362
2020-01-22,848.3664
2020-01-29,848.9479
2020-02-05,848.7044
2020-02-12,848.7831
2020-02-19,850.6491
2020-02-26,851.7174
2020-03-04,859.3574
2020-03-11,859.4586
2020-03-18,859.0223
2020-03-25,846.1325
2020-04-01,834.7859
2020-04-08,820.6778
2020-04-15,804.5308
2020-04-22,789.4102
2020-04-29,785.0419
2020-05-06,779.1149
2020-05-13,774.9698
2020-05-20,770.8666
2020-05-27,767.2076
2020-06-03,765.2471
2020-06-10,765.5724
2020-06-17,763.0061
2020-06-24,761.7038
2020-07-01,758.4918
2020-07-08,761.0517
2020-07-15,759.7998
2020-07-22,759.0231
2020-07-29,757.2963
2020-08-05,756.5215
2020-08-12,754.2266
2020-08-19,753.8392
2020-08-26,752.0828
2020-09-02,750.7905
2020-09-09,751.9096
2020-09-16,751.4256
2020-09-23,750.6
2020-09-30,752.4891
2020-10-07,750.1537
2020-10-14,751.1125
2020-10-21,750.9759
2020-10-28,750.2103
2020-11-04,750.7499
2020-11-11,750.6262
2020-11-18,747.9912
2020-11-25,747.7961
2020-12-02,746.5099
2020-12-09,749.1631
2020-12-16,749.9604
2020-12-23,750.1913
2020-12-30,747.2199
2021-01-06,747.7301
2021-01-13,746.0822
2021-01-20,746.671
2021-01-27,744.8692
2021-02-03,743.9357
2021-02-10,745.0923
2021-02-17,746.0879
2021-02-24,745.4338
2021-03-03,746.9702
2021-03-10,746.8398
2021-03-17,745.5555
2021-03-24,743.108
2021-03-31,743.9748
2021-04-07,739.14
2021-04-14,738.759
2021-04-21,739.5669
2021-04-28,743.0689
2021-05-05,741.9513
2021-05-12,746.7423
2021-05-19,749.5002
2021-05-26,751.8724
2021-06-02,751.4013
2021-06-09,754.1471
2021-06-16,754.2481
2021-06-23,756.5988
2021-06-30,760.8903
2021-07-07,760.1709
2021-07-14,760.2935
2021-07-21,762.8653
2021-07-28,764.6122
2021-08-04,766.4165
2021-08-11,767.836
2021-08-18,770.1719
2021-08-25,769.5528
2021-09-01,770.374
2021-09-08,770.1405
2021-09-15,771.0044
2021-09-22,772.0243
2021-09-29,777.3984
2021-10-06,776.3965
2021-10-13,780.404
2021-10-20,781.1626
2021-10-27,784.4722
2021-11-03,785.0837
2021-11-10,786.9778
2021-11-17,790.5497
2021-11-24,793.5977
2021-12-01,798.2254
2021-12-08,798.8642
2021-12-15,800.2713
2021-12-22,802.5753
2021-12-29,803.1201
2022-01-05,805.0215
2022-01-12,807.9861
2022-01-19,810.4392
2022-01-26,811.9393
2022-02-02,814.4162
2022-02-09,815.8066
2022-02-16,817.9158
2022-02-23,823.3021
2022-03-02,826.694
2022-03-09,830.224
2022-03-16,833.9611
2022-03-23,840.0646
2022-03-30,847.0806
2022-04-06,846.5205
2022-04-13,852.9332
2022-04-20,856.1525
2022-04-27,859.676
2022-05-04,859.9457
2022-05-11,863.4662
2022-05-18,863.6909
2022-05-25,867.874
2022-06-01,870.0996
2022-06-08,873.5522
2022-06-15,874.5366
2022-06-22,882.6842
2022-06-29,885.7859
2022-07-06,887.4772
2022-07-13,889.3909
2022-07-20,892.781
2022-07-27,894.6623
2022-08-03,896.1665
2022-08-10,898.3689
2022-08-17,899.2663
2022-08-24,903.1777
2022-08-31,908.4063
2022-09-07,907.9737
2022-09-14,910.8101
2022-09-21,913.3137
2022-09-28,916.1853
2022-10-05,918.2024
2022-10-12,921.6694
2022-10-19,924.2039
2022-10-26,926.5824
2022-11-02,927.3596
2022-11-09,926.6977
2022-11-16,926.8783
2022-11-23,930.3408
2022-11-30,935.803
